"date","close","volume","open","high","low"
"2016/05/06","26.4400","13565310.0000","26.2500","26.5200","26.1700"
"2016/05/05","26.2700","7937001.0000","26.2200","26.3500","26.1900"
"2016/05/04","26.1900","9085989.0000","26.1300","26.3850","26.0800"
"2016/05/03","26.1600","11103500.0000","26.3500","26.3900","26.1500"
"2016/05/02","26.4500","8394664.0000","26.1400","26.4900","26.0000"
"2016/04/29","26.1100","11991850.0000","26.1500","26.1900","25.8450"
"2016/04/28","26.1900","14236560.0000","26.3200","26.5150","26.1200"
"2016/04/27","26.4700","11666570.0000","26.4500","26.5100","26.2850"
"2016/04/26","26.4800","5146858.0000","26.5000","26.6100","26.4300"
"2016/04/25","26.5000","5512019.0000","26.4900","26.5700","26.4200"
"2016/04/22","26.5700","9760995.0000","26.4700","26.6700","26.4000"
"2016/04/21","26.4400","8988663.0000","26.3400","26.4700","26.2500"
"2016/04/20","26.3700","15847900.0000","26.0700","26.4800","26.0600"
"2016/04/19","25.5500","9251136.0000","25.4400","25.7700","25.4400"
"2016/04/18","25.5400","11441490.0000","25.4400","25.6700","25.4400"
"2016/04/15","25.5500","12521940.0000","25.6400","25.7600","25.5300"
"2016/04/14","25.6300","11666260.0000","25.7000","25.7200","25.5600"
"2016/04/13","25.7400","13506430.0000","25.7500","25.7800","25.4600"
"2016/04/12","25.6500","17024480.0000","25.8400","25.9300","25.6000"
"2016/04/11","25.7800","14610730.0000","25.7400","26.0100","25.7400"
"2016/04/08","25.6900","42114240.0000","25.8700","26.0000","25.5100"
"2016/04/07","26.0200","23074330.0000","26.2000","26.4800","25.6100"
"2016/04/06","26.4100","7301939.0000","26.3300","26.4500","26.2250"
"2016/04/05","26.3900","7614134.0000","26.7200","26.7600","26.3500"
"2016/04/04","26.7600","3922840.0000","26.8000","26.8900","26.7100"
"2016/04/01","26.8300","11294830.0000","26.5800","26.8500","26.5000"
"2016/03/31","26.6500","8832179.0000","26.6400","26.8300","26.6150"
"2016/03/30","26.7000","6219815.0000","26.7300","26.7800","26.6150"
"2016/03/29","26.7100","12730780.0000","26.4800","26.7500","26.4800"
"2016/03/28","26.5700","6561228.0000","26.4800","26.6500","26.4400"
"2016/03/24","26.4800","7624471.0000","26.3700","26.5900","26.3700"
"2016/03/23","26.5000","9305036.0000","26.4500","26.5200","26.2500"
"2016/03/22","26.4300","7935265.0000","26.3800","26.5000","26.3450"
"2016/03/21","26.4800","6979074.0000","26.3700","26.6800","26.3700"
"2016/03/18","26.5000","14636750.0000","26.5200","26.5800","26.3100"
"2016/03/17","26.4500","10469780.0000","26.2700","26.6000","26.2400"
"2016/03/16","26.2800","8469640.0000","26.0800","26.4750","26.0700"
"2016/03/15","26.1700","5538188.0000","26.1500","26.2300","26.0800"
"2016/03/14","26.2100","7239636.0000","26.1800","26.3300","26.1800"
"2016/03/11","26.2400","11298450.0000","26.3500","26.3850","26.1600"
"2016/03/10","26.2300","9821971.0000","26.3500","26.4100","25.9750"
"2016/03/09","26.2800","9963250.0000","26.3500","26.5200","26.1900"
"2016/03/08","26.3500","8935301.0000","26.4800","26.4900","26.1900"
"2016/03/07","26.5000","9218074.0000","26.2100","26.5600","26.1700"
"2016/03/04","26.3100","7725920.0000","26.3000","26.5100","26.2900"
"2016/03/03","26.3200","9708891.0000","26.3100","26.3900","26.1900"
"2016/03/02","26.2800","12747860.0000","26.4500","26.5900","26.2050"
"2016/03/01","26.5500","12664910.0000","26.2400","26.5500","26.1500"
"2016/02/29","26.1300","16064450.0000","26.0500","26.4200","26.0100"
"2016/02/26","26.0500","8834463.0000","26.0000","26.1800","25.9000"
"2016/02/25","25.9300","9302728.0000","25.5000","25.9500","25.3700"
"2016/02/24","25.4300","12115030.0000","25.1700","25.4800","25.0750"
"2016/02/23","25.2800","12410870.0000","25.1500","25.4300","25.0700"
"2016/02/22","25.3000","12675810.0000","25.0800","25.3000","25.0600"
"2016/02/19","25.0300","11416000.0000","25.0100","25.2200","24.9800"
"2016/02/18","25.1200","12774840.0000","24.9000","25.3600","24.8800"
"2016/02/17","24.9800","16014840.0000","24.7500","25.0500","24.6650"
"2016/02/16","24.6000","14372350.0000","24.2800","24.7600","24.2800"
"2016/02/12","24.1300","15220520.0000","24.2500","24.3500","24.0500"
"2016/02/11","24.1600","21624270.0000","24.3400","24.5350","23.9800"
"2016/02/10","24.5500","12673330.0000","24.4000","24.7100","24.2700"
"2016/02/09","24.1700","13431610.0000","23.8700","24.3500","23.8700"
"2016/02/08","24.2000","20307980.0000","24.3500","24.3900","23.9300"
"2016/02/05","24.5500","10189020.0000","24.7100","24.7450","24.4600"
"2016/02/04","24.7500","8194871.0000","24.4400","24.7700","24.4000"
"2016/02/03","24.4700","10497250.0000","24.3500","24.4900","24.0400"
"2016/02/02","24.3000","15676670.0000","24.3600","24.5350","24.2500"
"2016/02/01","24.5200","11306160.0000","24.4800","24.7500","24.4300"
"2016/01/29","24.7700","13961430.0000","24.3500","24.7700","24.2500"
"2016/01/28","24.2200","10502330.0000","23.9000","24.3000","23.8900"
"2016/01/27","23.9000","19792860.0000","23.7600","24.2100","23.7600"
"2016/01/26","24.3000","16786370.0000","24.2100","24.3600","24.1100"
"2016/01/25","23.9800","13435380.0000","24.3500","24.3700","23.9500"
"2016/01/22","24.4500","10558470.0000","24.2700","24.5300","24.2300"
"2016/01/21","23.9800","20875890.0000","24.3300","24.5250","23.9000"
"2016/01/20","24.1100","26778320.0000","24.0400","24.2400","23.6900"
"2016/01/19","24.3500","29744450.0000","25.0400","25.1200","24.3200"
"2016/01/15","25.0100","29385450.0000","24.2200","25.0700","24.2000"
"2016/01/14","24.6700","14727700.0000","24.2900","24.7300","24.1000"
"2016/01/13","24.1900","16372000.0000","24.6700","24.8250","24.1700"
"2016/01/12","24.6600","15378680.0000","24.6000","24.7900","24.3200"
"2016/01/11","24.4200","12141940.0000","24.5500","24.7700","24.3800"
"2016/01/08","24.4700","16293770.0000","24.8700","25.0500","24.4200"
"2016/01/07","24.8500","18077550.0000","24.9700","25.1200","24.6500"
"2016/01/06","25.2500","13425800.0000","25.2600","25.5850","25.1700"
"2016/01/05","25.5100","8015609.0000","25.5700","25.7700","25.5000"
"2016/01/04","25.5900","16427210.0000","25.3500","25.6700","25.3100"
"2015/12/31","25.6800","6436021.0000","25.6200","25.8700","25.5800"
"2015/12/30","25.7200","8031336.0000","25.8200","25.9000","25.6800"
"2015/12/29","25.9800","8654093.0000","26.0000","26.0700","25.8900"
"2015/12/28","25.9100","3932480.0000","25.9200","26.0000","25.8500"
"2015/12/24","26.0100","2734377.0000","25.9300","26.0600","25.9300"
"2015/12/23","26.0400","7757287.0000","25.7800","26.0600","25.7600"
"2015/12/22","25.7700","9809868.0000","25.4300","25.8100","25.4000"
"2015/12/21","25.5300","13128310.0000","25.5900","25.6900","25.2900"
"2015/12/18","25.3500","20921930.0000","25.4600","25.6900","25.3400"
"2015/12/17","25.5700","10722470.0000","25.9300","26.0000","25.5000"
"2015/12/16","26.0000","11168200.0000","26.0400","26.1000","25.7200"
"2015/12/15","25.9000","8185720.0000","25.8100","26.0900","25.7600"
"2015/12/14","25.7500","19281200.0000","25.9500","25.9900","25.5400"
"2015/12/11","25.9100","16620840.0000","25.7900","26.0800","25.7400"
"2015/12/10","26.0500","6781101.0000","26.0000","26.2100","25.9900"
"2015/12/09","26.0000","13173640.0000","25.8300","26.2200","25.8300"
"2015/12/08","26.0000","13549760.0000","25.9900","26.2700","25.9600"
"2015/12/07","26.1400","7385035.0000","25.8500","26.2700","25.8000"
"2015/12/04","25.9200","7900737.0000","25.6500","25.9600","25.6100"
"2015/12/03","25.5700","13497720.0000","25.9400","25.9700","25.5200"
"2015/12/02","25.8200","15548640.0000","25.5700","26.0000","25.5500"
"2015/12/01","25.5400","11004320.0000","25.2900","25.5700","25.2000"
"2015/11/30","25.3400","14201770.0000","25.3700","25.6400","25.3400"
"2015/11/27","25.4000","3957241.0000","25.4300","25.5550","25.3900"
"2015/11/25","25.4200","6954866.0000","25.4500","25.7200","25.4000"
"2015/11/24","25.4700","12157570.0000","25.1000","25.6400","25.0800"
"2015/11/23","25.2700","11726830.0000","25.2700","25.4200","25.2400"
"2015/11/20","25.3300","11563180.0000","25.1300","25.3700","25.0100"
"2015/11/19","25.0400","8874327.0000","25.1100","25.2600","24.9900"
"2015/11/18","25.1500","12384710.0000","25.1800","25.2700","24.9300"
"2015/11/17","25.1700","11177620.0000","25.3000","25.5300","25.1100"
"2015/11/16","25.2700","7351084.0000","24.9500","25.3500","24.9500"
"2015/11/13","25.0300","12455570.0000","25.0300","25.2000","24.8900"
"2015/11/12","25.0200","14367270.0000","25.3900","25.4400","24.9200"
"2015/11/11","25.4600","12789600.0000","25.0500","25.6650","25.0000"
"2015/11/10","25.2500","27901380.0000","25.7600","25.9700","25.1700"
"2015/11/09","25.8300","9443002.0000","25.8900","26.0300","25.7700"
"2015/11/06","25.9500","11859180.0000","26.0200","26.1299","25.9000"
"2015/11/05","26.0400","14035980.0000","26.1400","26.2400","26.0000"
"2015/11/04","26.2000","11024400.0000","26.1900","26.2500","26.0900"
"2015/11/03","26.2500","24012000.0000","26.3000","26.3700","26.1400"
"2015/11/02","26.3500","15605750.0000","26.0000","26.4000","25.9700"
"2015/10/30","26.2200","10784840.0000","26.3000","26.4000","26.1200"
"2015/10/29","26.1600","8209191.0000","26.1000","26.2900","25.9650"
"2015/10/28","26.1500","12490160.0000","26.1000","26.2300","25.9850"
"2015/10/27","26.0400","15502720.0000","26.0300","26.2700","25.8900"
"2015/10/26","26.1700","12974290.0000","26.0700","26.3000","26.0200"
"2015/10/23","26.1000","19739780.0000","25.9850","26.2900","25.8000"
"2015/10/22","25.7800","30839320.0000","25.6300","25.9800","25.5700"
"2015/10/21","25.7700","60533810.0000","26.3400","26.4000","25.6100"
"2015/10/20","27.4900","24376350.0000","27.6000","27.8100","27.4000"
"2015/10/19","27.7200","15467470.0000","27.6600","27.8000","27.5850"
"2015/10/16","27.7700","25544840.0000","27.9500","27.9900","27.7200"
"2015/10/15","27.7900","24498770.0000","27.1300","27.8800","27.0700"
"2015/10/14","27.1100","43742090.0000","27.3200","27.5400","27.0700"
"2015/10/13","27.5500","57000950.0000","27.8300","28.0800","27.5500"
"2015/10/12","28.3500","117612400.0000","28.7500","28.7700","27.3200"
"2015/10/09","27.8600","51788680.0000","27.2500","28.1300","27.1200"
"2015/10/08","27.1800","77841670.0000","27.0500","27.4400","26.2700"
"2015/10/07","25.9600","13447610.0000","25.9300","26.0800","25.5700"
"2015/10/06","25.8100","13058750.0000","25.3400","25.8700","25.2700"
"2015/10/05","25.3100","17895500.0000","24.7600","25.3400","24.7600"
"2015/10/02","24.6900","21778940.0000","23.7600","24.7200","23.7050"
"2015/10/01","24.2100","16313990.0000","24.1000","24.2700","24.0200"
"2015/09/30","24.1600","22183670.0000","23.4200","24.1900","23.3500"
"2015/09/29","23.1300","20434540.0000","23.2900","23.4350","22.9900"
"2015/09/28","23.5100","13574700.0000","23.6300","23.6700","23.4300"
"2015/09/25","23.7800","11745300.0000","23.9500","24.0400","23.6300"
"2015/09/24","23.7600","9235454.0000","23.6500","23.8700","23.2850"
"2015/09/23","23.8200","8632129.0000","23.7400","23.8900","23.6100"
"2015/09/22","23.7600","10622270.0000","23.9600","23.9900","23.6100"
"2015/09/21","24.1500","11808690.0000","24.1900","24.4600","24.0600"
"2015/09/18","24.0900","17620320.0000","24.4000","24.4600","24.0100"
"2015/09/17","24.7000","15151470.0000","24.7100","25.1000","24.5800"
"2015/09/16","24.8600","10106690.0000","24.5600","24.9400","24.4200"
"2015/09/15","24.5400","10466560.0000","24.4000","24.6100","24.2500"
"2015/09/14","24.3500","18900310.0000","24.5600","24.7000","24.0950"
"2015/09/11","24.6000","16287730.0000","23.7600","24.9000","23.6750"
"2015/09/10","23.9100","11336720.0000","23.9300","24.1400","23.6850"
"2015/09/09","23.9100","13463560.0000","24.6000","24.6600","23.8700"
"2015/09/08","24.2400","14214200.0000","24.0800","24.3100","23.9700"
"2015/09/04","23.6700","14802840.0000","23.7400","24.0000","23.5100"
"2015/09/03","24.1700","10112080.0000","24.2600","24.4350","24.0300"
"2015/09/02","24.1300","17973140.0000","24.3900","24.4000","23.9300"
"2015/09/01","24.0100","19224040.0000","24.3000","24.6650","23.8700"
"2015/08/31","24.8700","19082880.0000","24.8400","25.1900","24.5900"
"2015/08/28","24.9600","14421610.0000","24.8600","25.0300","24.7300"
"2015/08/27","25.0200","23368920.0000","24.5000","25.0300","24.4800"
"2015/08/26","24.1800","41190180.0000","23.7900","24.2900","23.2000"
"2015/08/25","22.6700","29729080.0000","24.5500","24.5500","22.6600"
"2015/08/24","23.7600","32698010.0000","23.8200","24.5600","23.3200"
"2015/08/21","25.0600","17601330.0000","25.5200","25.8825","25.0400"
"2015/08/20","25.7000","10931080.0000","25.9100","26.0500","25.6800"
"2015/08/19","26.1500","10876710.0000","26.2600","26.4500","25.9900"
"2015/08/18","26.4200","10438870.0000","26.6700","26.7500","26.3400"
"2015/08/17","26.9500","10151270.0000","26.4200","26.9600","26.3100"
"2015/08/14","26.6200","10516030.0000","26.2500","26.7250","26.2500"
"2015/08/13","26.3700","8840144.0000","26.4600","26.5900","26.1300"
"2015/08/12","26.3800","12678450.0000","26.3300","26.4050","25.8800"
"2015/08/11","26.4900","14949630.0000","27.0200","27.0730","26.2900"
"2015/08/10","27.3200","10720170.0000","27.3600","27.4900","27.0100"
"2015/08/07","27.2400","12071080.0000","27.1400","27.4700","27.0400"
"2015/08/06","27.2100","34007620.0000","27.1800","28.0000","27.1050"
"2015/08/05","26.8500","28823020.0000","26.2000","27.0500","25.9250"
"2015/08/04","26.0100","14235600.0000","26.2300","26.2700","25.8400"
"2015/08/03","26.3400","13220010.0000","26.6200","26.7600","26.1800"
"2015/07/31","26.8900","12269320.0000","26.9300","27.1150","26.7900"
"2015/07/30","26.7800","10005330.0000","26.6900","26.8200","26.4750"
"2015/07/29","26.6800","13484510.0000","26.6900","26.8400","26.3800"
"2015/07/28","26.7800","22631130.0000","26.1100","26.9100","25.9900"
"2015/07/27","26.0400","22798240.0000","25.4200","26.0900","25.4000"
"2015/07/24","25.6200","13394620.0000","25.9700","26.0100","25.4500"
"2015/07/23","25.9700","24515910.0000","25.6900","26.3900","25.6500"
"2015/07/22","25.3800","35794870.0000","24.7600","25.7900","24.7400"
"2015/07/21","24.9300","15489100.0000","24.8900","25.1800","24.8000"
"2015/07/20","24.9800","12437820.0000","25.2800","25.3100","24.9600"
"2015/07/17","25.2600","13434370.0000","25.2200","25.3600","25.1000"
