"date","close","volume","open","high","low"
"2016/05/06","11.5900","8439004.0000","11.4000","11.6400","11.3700"
"2016/05/05","11.4500","8975069.0000","11.6700","11.7400","11.4000"
"2016/05/04","11.5900","8673632.0000","11.6500","11.8000","11.5200"
"2016/05/03","11.7100","16316520.0000","12.0500","12.1100","11.6100"
"2016/05/02","12.1200","12284020.0000","12.2600","12.3300","12.0200"
"2016/04/29","12.2700","13491880.0000","12.4900","12.5100","12.1300"
"2016/04/28","12.5700","8006630.0000","12.7400","12.8000","12.5200"
"2016/04/27","12.7600","10530740.0000","12.6600","12.7900","12.4850"
"2016/04/26","12.7300","15675290.0000","12.5900","12.7850","12.5800"
"2016/04/25","12.5700","13957190.0000","12.5500","12.6400","12.3700"
"2016/04/22","12.6100","11610980.0000","12.5200","12.7300","12.5200"
"2016/04/21","12.5900","11000350.0000","12.7800","12.8410","12.5800"
"2016/04/20","12.8000","17071380.0000","12.8200","12.9600","12.7250"
"2016/04/19","12.7800","18279020.0000","12.7000","12.9150","12.5900"
"2016/04/18","12.6700","15582320.0000","12.4800","12.9600","12.4500"
"2016/04/15","12.5200","12488270.0000","12.5700","12.7100","12.5000"
"2016/04/14","12.5500","14140000.0000","12.5600","12.6900","12.3400"
"2016/04/13","12.6400","16026500.0000","12.3400","12.7400","12.2600"
"2016/04/12","12.2200","28304030.0000","12.2000","12.3100","11.7800"
"2016/04/11","12.1300","15968770.0000","12.1000","12.4400","12.0950"
"2016/04/08","12.0600","8256239.0000","12.0900","12.2800","12.0500"
"2016/04/07","11.9900","14218670.0000","12.2100","12.2900","11.9300"
"2016/04/06","12.2800","13114140.0000","12.0300","12.2900","11.8900"
"2016/04/05","11.9500","15457960.0000","12.1000","12.1400","11.9300"
"2016/04/04","12.1000","11098410.0000","12.2400","12.3000","12.0900"
"2016/04/01","12.2600","11919320.0000","12.2100","12.2900","12.0300"
"2016/03/31","12.3200","13806570.0000","12.3000","12.3600","12.2000"
"2016/03/30","12.3000","10790080.0000","12.3400","12.3900","12.1600"
"2016/03/29","12.2800","10721190.0000","12.0300","12.3500","11.9200"
"2016/03/28","12.0700","10558460.0000","12.0600","12.1400","11.9600"
"2016/03/24","12.0700","12085820.0000","11.9800","12.1000","11.7150"
"2016/03/23","12.0200","11988970.0000","12.2400","12.2801","11.9700"
"2016/03/22","12.2600","10924770.0000","12.0900","12.3000","12.0600"
"2016/03/21","12.2100","14445640.0000","12.1400","12.2400","11.9800"
"2016/03/18","12.1800","35391440.0000","11.7800","12.2200","11.7800"
"2016/03/17","11.7200","18154850.0000","11.6200","12.2500","11.5900"
"2016/03/16","11.6200","11656950.0000","11.4100","11.6700","11.3500"
"2016/03/15","11.4000","11117750.0000","11.4300","11.4500","11.2000"
"2016/03/14","11.4700","13585130.0000","11.6300","11.7100","11.3600"
"2016/03/11","11.7000","12947990.0000","11.5200","11.7000","11.4500"
"2016/03/10","11.4200","15901290.0000","11.3900","11.5600","11.1450"
"2016/03/09","11.3600","12056810.0000","11.0900","11.4500","11.0900"
"2016/03/08","11.0500","13054840.0000","11.2000","11.2700","10.9600"
"2016/03/07","11.3100","12399170.0000","10.9900","11.4000","10.9500"
"2016/03/04","11.1800","15153360.0000","11.1500","11.3200","11.1000"
"2016/03/03","11.1100","18108930.0000","10.9700","11.2950","10.9600"
"2016/03/02","10.9000","12506970.0000","10.9300","11.0600","10.7700"
"2016/03/01","10.9300","17244880.0000","10.8400","11.0200","10.6700"
"2016/02/29","10.6900","17385810.0000","10.6400","10.8500","10.6000"
"2016/02/26","10.6400","22766580.0000","10.4400","10.9900","10.3800"
"2016/02/25","10.3400","35556520.0000","10.1600","10.4600","9.9500"
"2016/02/24","10.8200","21697910.0000","10.2800","10.8599","10.1000"
"2016/02/23","10.3100","13017900.0000","10.6100","10.6300","10.2500"
"2016/02/22","10.6800","10849890.0000","10.4400","10.7500","10.4200"
"2016/02/19","10.3200","13933360.0000","10.4900","10.4932","10.0500"
"2016/02/18","10.5200","18758730.0000","10.1300","10.6700","10.1000"
"2016/02/17","10.0800","11987780.0000","9.8800","10.1000","9.8700"
"2016/02/16","9.8100","12031300.0000","9.5600","9.8450","9.4500"
"2016/02/12","9.4200","9665433.0000","9.0900","9.4400","9.0300"
"2016/02/11","9.0200","14737530.0000","9.1400","9.2000","8.9100"
"2016/02/10","9.2800","12246870.0000","9.2400","9.4650","9.1900"
"2016/02/09","9.1900","20489130.0000","9.2900","9.4200","9.1500"
"2016/02/08","9.3700","15917980.0000","9.7600","9.8090","9.2100"
"2016/02/05","9.9100","17014200.0000","9.8300","10.1200","9.7600"
"2016/02/04","9.8600","11744570.0000","9.6000","9.9350","9.6000"
"2016/02/03","9.6500","15264240.0000","9.8100","9.8500","9.3300"
"2016/02/02","9.8800","21562070.0000","9.8300","9.9700","9.7299"
"2016/02/01","9.9700","21712330.0000","9.6500","10.0100","9.5900"
"2016/01/29","9.7100","47468320.0000","9.5800","9.7200","9.4000"
"2016/01/28","9.4800","13383680.0000","9.7500","9.7700","9.4200"
"2016/01/27","9.6200","9729280.0000","9.6400","9.8900","9.5650"
"2016/01/26","9.6400","9870507.0000","9.5400","9.8000","9.5100"
"2016/01/25","9.4900","14495840.0000","9.7900","9.8061","9.4500"
"2016/01/22","9.8000","17293170.0000","10.1300","10.2400","9.7300"
"2016/01/21","9.9400","25718150.0000","9.6100","10.0100","9.5051"
"2016/01/20","9.5500","27004120.0000","9.5500","9.6300","9.2400"
"2016/01/19","9.7600","27428940.0000","10.2700","10.2800","9.7000"
"2016/01/15","10.1100","24210070.0000","10.1800","10.3800","9.9900"
"2016/01/14","10.6200","29016550.0000","10.6000","10.8200","10.5400"
"2016/01/13","10.5800","29788260.0000","10.8300","10.9250","10.4400"
"2016/01/12","10.8200","16627180.0000","10.7600","10.8867","10.5700"
"2016/01/11","10.6500","17004000.0000","10.6600","10.7500","10.5000"
"2016/01/08","10.5800","17428380.0000","10.8300","10.9200","10.5500"
"2016/01/07","10.7700","25487290.0000","11.0500","11.0500","10.7200"
"2016/01/06","11.2900","16350980.0000","11.5200","11.5200","11.2000"
"2016/01/05","11.7100","13558400.0000","11.6500","11.7800","11.5800"
"2016/01/04","11.6000","15143490.0000","11.5800","11.6600","11.4500"
"2015/12/31","11.8400","10382220.0000","11.8300","11.9900","11.7600"
"2015/12/30","11.8400","8389311.0000","11.9100","11.9600","11.8100"
"2015/12/29","11.8600","9664632.0000","11.6700","11.9300","11.6700"
"2015/12/28","11.6300","8015060.0000","11.7000","11.7200","11.5800"
"2015/12/24","11.7300","4626631.0000","11.7500","11.8900","11.7200"
"2015/12/23","11.7500","11917130.0000","11.7500","11.7900","11.6600"
"2015/12/22","11.6600","19678130.0000","11.4000","11.7600","11.3000"
"2015/12/21","11.4300","18334650.0000","11.6000","11.6300","11.3100"
"2015/12/18","11.5100","38374090.0000","11.8300","11.9100","11.4500"
"2015/12/17","11.9000","25743160.0000","12.2800","12.3500","11.8900"
"2015/12/16","12.2600","18220570.0000","12.2700","12.3950","12.1800"
"2015/12/15","12.2100","18768400.0000","12.2200","12.4650","12.2000"
"2015/12/14","12.1600","19370040.0000","12.3000","12.4700","12.0100"
"2015/12/11","12.2100","20889520.0000","12.1400","12.2800","12.0400"
"2015/12/10","12.3600","15199140.0000","12.1200","12.3800","12.1200"
"2015/12/09","12.1100","23602560.0000","12.0800","12.4500","12.0450"
"2015/12/08","12.1900","20593060.0000","11.9200","12.3600","11.8900"
"2015/12/07","12.1500","21616350.0000","12.2100","12.4650","12.0700"
"2015/12/04","12.3200","21799030.0000","12.1500","12.5600","12.1200"
"2015/12/03","12.1500","47316710.0000","11.9700","12.3700","11.8600"
"2015/12/02","11.9500","52268920.0000","12.6100","12.6100","11.9000"
"2015/12/01","12.7400","17801790.0000","12.6300","12.7700","12.5200"
"2015/11/30","12.5400","28758310.0000","12.5800","12.6900","12.3900"
"2015/11/27","12.6100","17214250.0000","12.5400","12.8800","12.5100"
"2015/11/25","12.6400","71888980.0000","13.1700","13.2700","12.2600"
